device_id,dma,device_type,hour,content_type,ad_load,disk_utilization,is_injected_anomaly
0,NY,A,8,sports,0.7207283866671284,68.42913546668514,False
1,FL,A,5,news,0.7112377614746703,64.44951045898682,False
2,TX,B,12,news,0.2026950310833242,52.50780124333296,False
3,LA,C,15,movie,0.036655395168237126,49.46621580672949,False
4,LA,C,6,news,0.30379952180706926,49.35198087228277,False
5,FL,C,18,sports,0.1571363048589508,57.885452194358024,False
6,NY,B,15,news,0.39578847921569404,63.831539168627764,False
7,TX,C,3,news,0.9793461191526043,72.77384476610416,False
8,NY,C,22,movie,0.18107137090522096,63.64285483620884,False
9,NY,A,1,news,0.31887394342296893,43.95495773691876,False
10,TX,C,15,news,0.7251143163195723,77.0045726527829,False
11,FL,A,10,movie,0.5091827828619216,62.367311314476865,False
12,TX,B,15,news,0.043928143573384926,49.7571257429354,False
13,FL,C,18,movie,0.16169001816132167,58.06760072645286,False
14,TX,B,16,movie,0.9352495547731959,86.60998219092784,False
15,FL,C,15,movie,0.10316499273902846,52.12659970956114,False
16,TX,A,20,movie,0.6350927872097057,79.40371148838823,False
17,NY,B,16,news,0.7923256488409115,80.89302595363647,False
18,FL,C,19,sports,0.2654390627249239,63.41756250899695,False
19,LA,B,9,news,0.7250780031386901,69.8031201255476,False
20,TX,C,4,sports,0.16989517903018025,41.595807161207205,False
21,LA,B,5,news,0.28475027483379034,47.39001099335161,False
22,NY,C,14,movie,0.31182203088420746,59.272881235368295,False
23,FL,B,12,news,0.9964349905642236,84.25739962256894,False
24,FL,C,1,sports,0.2145722952179573,39.78289180871829,False
25,TX,A,4,sports,0.129207464633585,39.9682985853434,False
26,LA,A,23,movie,0.9256914374814104,94.6276574992564,False
27,FL,A,17,movie,0.16193069382035274,56.87722775281411,False
28,TX,C,18,news,0.8792799196294053,86.77119678517622,False
29,LA,A,4,movie,0.65045662764669,60.818265105867596,False
30,LA,A,1,movie,0.5768614980705188,54.27445992282075,False
31,NY,C,6,news,0.7513387115465768,67.25354846186308,False
